"licenseId","name","reference","active"
"0BSD","BSD Zero Clause License","https://spdx.org/licenses/0BSD.html","true"
"AAL","Attribution Assurance License","https://spdx.org/licenses/AAL.html","true"
"Abstyles","Abstyles License","https://spdx.org/licenses/Abstyles.html","true"
"AdaCore-doc","AdaCore Doc License","https://spdx.org/licenses/AdaCore-doc.html","true"
"Adobe-2006","Adobe Systems Incorporated Source Code License Agreement","https://spdx.org/licenses/Adobe-2006.html","true"
"Adobe-Glyph","Adobe Glyph List License","https://spdx.org/licenses/Adobe-Glyph.html","true"
"ADSL","Amazon Digital Services License","https://spdx.org/licenses/ADSL.html","true"
"AFL-1.1","Academic Free License v1.1","https://spdx.org/licenses/AFL-1.1.html","true"
"AFL-1.2","Academic Free License v1.2","https://spdx.org/licenses/AFL-1.2.html","true"
"AFL-2.0","Academic Free License v2.0","https://spdx.org/licenses/AFL-2.0.html","true"
"AFL-2.1","Academic Free License v2.1","https://spdx.org/licenses/AFL-2.1.html","true"
"AFL-3.0","Academic Free License v3.0","https://spdx.org/licenses/AFL-3.0.html","true"
"Afmparse","Afmparse License","https://spdx.org/licenses/Afmparse.html","true"
"AGPL-1.0","Affero General Public License v1.0","https://spdx.org/licenses/AGPL-1.0.html","false"
"AGPL-1.0-only","Affero General Public License v1.0 only","https://spdx.org/licenses/AGPL-1.0-only.html","true"
"AGPL-1.0-or-later","Affero General Public License v1.0 or later","https://spdx.org/licenses/AGPL-1.0-or-later.html","true"
"AGPL-3.0","GNU Affero General Public License v3.0","https://spdx.org/licenses/AGPL-3.0.html","false"
"AGPL-3.0-only","GNU Affero General Public License v3.0 only","https://spdx.org/licenses/AGPL-3.0-only.html","true"
"AGPL-3.0-or-later","GNU Affero General Public License v3.0 or later","https://spdx.org/licenses/AGPL-3.0-or-later.html","true"
"Aladdin","Aladdin Free Public License","https://spdx.org/licenses/Aladdin.html","true"
"AMDPLPA","AMD's plpa_map.c License","https://spdx.org/licenses/AMDPLPA.html","true"
"AML","Apple MIT License","https://spdx.org/licenses/AML.html","true"
"AMPAS","Academy of Motion Picture Arts and Sciences BSD","https://spdx.org/licenses/AMPAS.html","true"
"ANTLR-PD","ANTLR Software Rights Notice","https://spdx.org/licenses/ANTLR-PD.html","true"
"ANTLR-PD-fallback","ANTLR Software Rights Notice with license fallback","https://spdx.org/licenses/ANTLR-PD-fallback.html","true"
"Apache-1.0","Apache License 1.0","https://spdx.org/licenses/Apache-1.0.html","true"
"Apache-1.1","Apache License 1.1","https://spdx.org/licenses/Apache-1.1.html","true"
"Apache-2.0","Apache License 2.0","https://spdx.org/licenses/Apache-2.0.html","true"
"APAFML","Adobe Postscript AFM License","https://spdx.org/licenses/APAFML.html","true"
"APL-1.0","Adaptive Public License 1.0","https://spdx.org/licenses/APL-1.0.html","true"
"App-s2p","App::s2p License","https://spdx.org/licenses/App-s2p.html","true"
"APSL-1.0","Apple Public Source License 1.0","https://spdx.org/licenses/APSL-1.0.html","true"
"APSL-1.1","Apple Public Source License 1.1","https://spdx.org/licenses/APSL-1.1.html","true"
"APSL-1.2","Apple Public Source License 1.2","https://spdx.org/licenses/APSL-1.2.html","true"
"APSL-2.0","Apple Public Source License 2.0","https://spdx.org/licenses/APSL-2.0.html","true"
"Arphic-1999","Arphic Public License","https://spdx.org/licenses/Arphic-1999.html","true"
"Artistic-1.0","Artistic License 1.0","https://spdx.org/licenses/Artistic-1.0.html","true"
"Artistic-1.0-cl8","Artistic License 1.0 w/clause 8","https://spdx.org/licenses/Artistic-1.0-cl8.html","true"
"Artistic-1.0-Perl","Artistic License 1.0 (Perl)","https://spdx.org/licenses/Artistic-1.0-Perl.html","true"
"Artistic-2.0","Artistic License 2.0","https://spdx.org/licenses/Artistic-2.0.html","true"
"ASWF-Digital-Assets-1.0","ASWF Digital Assets License version 1.0","https://spdx.org/licenses/ASWF-Digital-Assets-1.0.html","true"
"ASWF-Digital-Assets-1.1","ASWF Digital Assets License 1.1","https://spdx.org/licenses/ASWF-Digital-Assets-1.1.html","true"
"Baekmuk","Baekmuk License","https://spdx.org/licenses/Baekmuk.html","true"
"Bahyph","Bahyph License","https://spdx.org/licenses/Bahyph.html","true"
"Barr","Barr License","https://spdx.org/licenses/Barr.html","true"
"Beerware","Beerware License","https://spdx.org/licenses/Beerware.html","true"
"Bitstream-Charter","Bitstream Charter Font License","https://spdx.org/licenses/Bitstream-Charter.html","true"
"Bitstream-Vera","Bitstream Vera Font License","https://spdx.org/licenses/Bitstream-Vera.html","true"
"BitTorrent-1.0","BitTorrent Open Source License v1.0","https://spdx.org/licenses/BitTorrent-1.0.html","true"
"BitTorrent-1.1","BitTorrent Open Source License v1.1","https://spdx.org/licenses/BitTorrent-1.1.html","true"
"blessing","SQLite Blessing","https://spdx.org/licenses/blessing.html","true"
"BlueOak-1.0.0","Blue Oak Model License 1.0.0","https://spdx.org/licenses/BlueOak-1.0.0.html","true"
"Boehm-GC","Boehm-Demers-Weiser GC License","https://spdx.org/licenses/Boehm-GC.html","true"
"Borceux","Borceux license","https://spdx.org/licenses/Borceux.html","true"
"Brian-Gladman-3-Clause","Brian Gladman 3-Clause License","https://spdx.org/licenses/Brian-Gladman-3-Clause.html","true"
"BSD-1-Clause","BSD 1-Clause License","https://spdx.org/licenses/BSD-1-Clause.html","true"
"BSD-2-Clause","BSD 2-Clause ""Simplified"" License","https://spdx.org/licenses/BSD-2-Clause.html","true"
"BSD-2-Clause-FreeBSD","BSD 2-Clause FreeBSD License","https://spdx.org/licenses/BSD-2-Clause-FreeBSD.html","false"
